"WOY";"pop";"Covid_caused";"Covid_attributed";"Covid_related";"AllCause_observed";"AllCause_fitted";"AllCause_PImin";"AllCause_PImax";"AllCause_diff";"AllCause_diff_min";"AllCause_diff_max";"AllCause_excess";"AllCause_excess_max";"AllCause_excess_min";"Circulatory_observed";"Circulatory_fitted";"Circulatory_PImin";"Circulatory_PImax";"Circulatory_diff";"Circulatory_diff_PImin";"Circulatory_diff_PImax";"Circulatory_excess";"Circulatory_excess_PImin";"Circulatory_excess_PImax";"Oncology_observed";"Oncology_fitted";"Oncology_PImin";"Oncology_PImax";"Oncology_diff";"Oncology_diff_PImin";"Oncology_diff_PImax";"Oncology_excess";"Oncology_excess_max";"Oncology_excess_min";"Diabetes_observed";"Diabetes_fitted";"Diabetes_PImin";"Diabetes_PImax";"Diabetes_diff";"Diabetes_diff_PImin";"Diabetes_diff_PImax";"Diabetes_excess";"Diabetes_excess_max";"Diabetes_excess_min";"CLRd_observed";"CLRd_fitted";"CLRd_PImin";"CLRd_PImax";"CLRd_diff";"CLRd_diff_PImin";"CLRd_diff_PImax";"CLRd_excess";"CLRd_excess_max";"CLRd_excess_min"
"15";"1903760";"2";"1";"3";"538";"507";"462";"554";"31";"-16";"76";"31";"76";"0";"268";"246";"214";"280";"22";"-12";"54";"22";"0";"54";"119";"111";"90";"134";"8";"-15";"29";"8";"29";"0";"11";"12";"5";"19";"-1";"-8";"6";"0";"6";"0";"3";"6";"1";"11";"-3";"-8";"2";"0";"2";"0"
"16";"1903540";"2";"1";"3";"530";"495";"450";"542";"35";"-12";"80";"35";"80";"0";"257";"241";"209";"274";"16";"-17";"48";"16";"0";"48";"105";"111";"90";"132";"-6";"-27";"15";"0";"15";"0";"11";"12";"5";"19";"-1";"-8";"6";"0";"6";"0";"5";"6";"1";"11";"-1";"-6";"4";"0";"4";"0"
"17";"1903320";"2";"2";"4";"531";"485";"439";"531";"46";"0";"92";"46";"92";"0";"243";"235";"204";"268";"8";"-25";"39";"8";"0";"39";"117";"110";"89";"133";"7";"-16";"28";"7";"28";"0";"11";"11";"5";"19";"0";"-8";"6";"0";"6";"0";"8";"6";"1";"11";"2";"-3";"7";"2";"7";"0"
"18";"1903100";"2";"1";"3";"519";"477";"431";"524";"42";"-5";"88";"42";"88";"0";"250";"231";"200";"263";"19";"-13";"50";"19";"0";"50";"121";"110";"89";"132";"11";"-11";"32";"11";"32";"0";"4";"11";"5";"19";"-7";"-15";"-1";"0";"0";"0";"6";"5";"1";"11";"1";"-5";"5";"1";"5";"0"
"19";"1902825";"0";"0";"0";"454";"471";"428";"516";"-17";"-62";"26";"0";"26";"0";"204";"227";"196";"259";"-23";"-55";"8";"0";"0";"8";"100";"109";"89";"131";"-9";"-31";"11";"0";"11";"0";"17";"11";"5";"19";"6";"-2";"12";"6";"12";"0";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"20";"1902550";"1";"1";"2";"587";"466";"422";"512";"121";"75";"165";"121";"165";"75";"272";"223";"193";"255";"49";"17";"79";"49";"17";"79";"119";"109";"88";"131";"10";"-12";"31";"10";"31";"0";"12";"11";"5";"19";"1";"-7";"7";"1";"7";"0";"3";"5";"1";"10";"-2";"-7";"2";"0";"2";"0"
"21";"1902275";"1";"1";"2";"529";"461";"417";"506";"68";"23";"112";"68";"112";"23";"257";"219";"190";"251";"38";"6";"67";"38";"6";"67";"110";"109";"88";"131";"1";"-21";"22";"1";"22";"0";"11";"11";"5";"18";"0";"-7";"6";"0";"6";"0";"2";"5";"1";"10";"-3";"-8";"1";"0";"1";"0"
"22";"1902000";"0";"1";"1";"498";"456";"413";"500";"42";"-2";"85";"42";"85";"0";"231";"215";"186";"247";"16";"-16";"45";"16";"0";"45";"107";"109";"88";"131";"-2";"-24";"19";"0";"19";"0";"14";"11";"5";"19";"3";"-5";"9";"3";"9";"0";"6";"5";"1";"10";"1";"-4";"5";"1";"5";"0"
"23";"1901700";"1";"0";"1";"502";"451";"408";"496";"51";"6";"94";"51";"94";"6";"223";"213";"183";"243";"10";"-20";"40";"10";"0";"40";"120";"108";"87";"131";"12";"-11";"33";"12";"33";"0";"13";"11";"5";"18";"2";"-5";"8";"2";"8";"0";"2";"4";"1";"9";"-2";"-7";"1";"0";"1";"0"
"24";"1901400";"1";"2";"3";"495";"449";"405";"494";"46";"1";"90";"46";"90";"1";"239";"212";"182";"242";"27";"-3";"57";"27";"0";"57";"102";"108";"87";"130";"-6";"-28";"15";"0";"15";"0";"17";"11";"5";"19";"6";"-2";"12";"6";"12";"0";"5";"4";"1";"9";"1";"-4";"4";"1";"4";"0"
